disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:11123	36	36	4	0.1111111111111111	1.98253997347	0.06329367063293671
DOID:150	58	57	10	0.17543859649122806	4.1304822615	0.012098790120987902
DOID:3093	11	11	3	0.2727272727272727	5.49158977128	0.007899210078992101
DOID:13608	22	22	5	0.22727272727272727	5.47321203947	0.0033996600339966003
DOID:2745	19	19	3	0.15789473684210525	3.02181114447	0.0321967803219678
DOID:4468	37	36	13	0.3611111111111111	10.6285930632	9.999000099990002e-05
DOID:17	127	127	66	0.5196850393700787	9.92336217596	9.999000099990002e-05
DOID:3565	306	293	209	0.7133105802047781	7.23533903525	9.999000099990002e-05
DOID:12400	10	10	3	0.3	6.24190138542	0.005499450054994501
DOID:319	13	13	3	0.23076923076923078	4.56695617599	0.013398660133986601
DOID:7148	691	659	517	0.7845220030349014	8.64640932064	9.999000099990002e-05
DOID:8986	220	195	73	0.37435897435897436	4.23743054407	0.00029997000299970003
DOID:0050451	14	14	4	0.2857142857142857	6.71612305949	0.0018998100189981002
DOID:3493	12	11	4	0.36363636363636365	8.39980868316	0.0007999200079992001
DOID:8538	397	393	315	0.8015267175572519	8.38922921993	9.999000099990002e-05
DOID:526	689	640	484	0.75625	7.93780797946	9.999000099990002e-05
DOID:14791	38	37	3	0.08108108108108109	0.963892762943	0.18968103189681032
DOID:14749	12	12	2	0.16666666666666666	2.39067985295	0.11608839116088392
DOID:0080001	33	33	5	0.15151515151515152	3.44139647602	0.019598040195980403
DOID:10941	74	66	27	0.4090909090909091	11.159535647	9.999000099990002e-05
DOID:3355	10	10	2	0.2	2.97440340844	0.08409159084091591
DOID:13564	18	18	6	0.3333333333333333	8.55866671748	0.00029997000299970003
DOID:3121	49	49	24	0.4897959183673469	14.5793325971	9.999000099990002e-05
DOID:4235	14	14	3	0.21428571428571427	4.34586611243	0.014498550144985502
DOID:11476	607	588	462	0.7857142857142857	8.82062826763	9.999000099990002e-05
DOID:8689	56	54	6	0.1111111111111111	2.09651902	0.054394560543945605
DOID:11840	10	10	1	0.1	-0.293094568535	1.0
DOID:3328	57	57	5	0.08771929824561403	1.22369802703	0.12438756124387561
DOID:5041	596	565	457	0.8088495575221238	9.22042071433	9.999000099990002e-05
DOID:3049	17	17	4	0.23529411764705882	5.23002697254	0.005499450054994501
DOID:3620	25	24	6	0.25	6.22806821188	0.0025997400259974
DOID:303	186	173	46	0.2658959537572254	2.96937195847	0.0115988401159884
DOID:0001816	16	16	13	0.8125	23.8823608891	9.999000099990002e-05
DOID:9620	23	22	5	0.22727272727272727	5.47321203947	0.0033996600339966003
DOID:10316	26	26	7	0.2692307692307692	7.09565334458	0.0010998900109989002
DOID:3407	128	126	55	0.4365079365079365	7.996072135	9.999000099990002e-05
DOID:12132	61	59	16	0.2711864406779661	7.48950307472	0.0007999200079992001
DOID:1558	15	14	3	0.21428571428571427	4.34586611243	0.014498550144985502
DOID:1614	25	25	15	0.6	18.251202896	9.999000099990002e-05
