rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
496	70.0	70.0	70.0	70.0	70.0
497	70.0	70.0	70.0	70.0	70.0
498	70.0	70.0	70.0	70.0	70.0
499	70.0	70.0	70.0	70.0	70.0
500	70.0	70.0	70.0	70.0	70.0
501	70.0	70.0	70.0	70.0	70.0
502	70.0	70.0	70.0	70.0	70.0
503	70.0	70.0	70.0	70.0	70.0
504	70.0	70.0	70.0	70.0	70.0
505	70.0	70.0	70.0	70.0	70.0
506	70.0	70.0	70.0	70.0	70.0
507	70.0	70.0	70.0	70.0	70.0
508	70.0	70.0	70.0	70.0	70.0
509	70.0	70.0	70.0	70.0	70.0
510	70.0	70.0	70.0	70.0	70.0
511	70.0	70.0	70.0	70.0	70.0
512	70.0	70.0	70.0	70.0	70.0
513	70.0	70.0	70.0	70.0	70.0
514	70.0	70.0	70.0	70.0	70.0
515	70.0	70.0	70.0	70.0	70.0
516	70.0	70.0	70.0	70.0	70.0
517	70.0	70.0	70.0	70.0	70.0
518	70.0	70.0	70.0	70.0	70.0
519	70.0	70.0	70.0	70.0	70.0
520	70.0	70.0	70.0	70.0	70.0
521	70.0	70.0	70.0	70.0	70.0
522	70.0	70.0	70.0	70.0	70.0
523	70.0	70.0	70.0	70.0	70.0
524	70.0	70.0	70.0	70.0	70.0
525	70.0	70.0	70.0	70.0	70.0
526	70.0	70.0	70.0	70.0	70.0
527	70.0	70.0	70.0	70.0	70.0
528	70.0	70.0	70.0	70.0	70.0
529	70.0	70.0	70.0	70.0	70.0
530	70.0	70.0	70.0	70.0	70.0
531	70.0	70.0	70.0	70.0	70.0
532	70.0	70.0	70.0	70.0	70.0
533	70.0	70.0	70.0	70.0	70.0
534	70.0	70.0	70.0	70.0	70.0
535	70.0	70.0	70.0	70.0	70.0
536	70.0	70.0	70.0	70.0	70.0
537	70.0	70.0	70.0	70.0	70.0
538	70.0	70.0	70.0	70.0	70.0
539	70.0	70.0	70.0	70.0	70.0
540	70.0	70.0	70.0	70.0	70.0
541	70.0	70.0	70.0	70.0	70.0
542	70.0	70.0	70.0	70.0	70.0
543	70.0	70.0	70.0	70.0	70.0
544	70.0	70.0	70.0	70.0	70.0
545	70.0	70.0	70.0	70.0	70.0
546	70.0	70.0	70.0	70.0	70.0
547	70.0	70.0	70.0	70.0	70.0
548	70.0	70.0	70.0	70.0	70.0
549	70.0	70.0	70.0	70.0	70.0
550	70.0	70.0	70.0	70.0	70.0
551	70.0	70.0	70.0	70.0	70.0
552	70.0	70.0	70.0	70.0	70.0
553	70.0	70.0	70.0	70.0	70.0
554	70.0	70.0	70.0	70.0	70.0
555	70.0	70.0	70.0	70.0	70.0
556	70.0	70.0	70.0	70.0	70.0
557	70.0	70.0	70.0	70.0	70.0
558	70.0	70.0	70.0	70.0	70.0
559	70.0	70.0	70.0	70.0	70.0
560	70.0	70.0	70.0	70.0	70.0
561	70.0	70.0	70.0	70.0	70.0
562	70.0	70.0	70.0	70.0	70.0
563	70.0	70.0	70.0	70.0	70.0
564	70.0	70.0	70.0	70.0	70.0
565	70.0	70.0	70.0	70.0	70.0
566	70.0	70.0	70.0	70.0	70.0
567	70.0	70.0	70.0	70.0	70.0
568	70.0	70.0	70.0	70.0	70.0
569	70.0	70.0	70.0	70.0	70.0
570	70.0	70.0	70.0	70.0	70.0
